"","text","text_tag","author","label"
"5451","human be jail countri today million percent black african american","crime","eberto redman","0"
"3245","presid releas oil strateg oil reserv","energi","liliane kivits","0"
"5889","sinc incid document suction entrap swim pool spas includ death children","children consum safeti","aristotle tofpik","1"
"3987","joe straus receiv percent rate naral nation abort reproduct right action leagu","abort vote record","dyann ferrea","0"
"4175","other place hand heart obama turn back flag slouch","patriot","papagena eardley","0"
"5210","us spend billion research develop energi spend billion oil foreign countri mani enemi","energi foreign polici oil spill","suzann roaf","0"
"8230"," obama new york citi day isra prime minist benjamin netanyahu went tv show instead meet","debat foreign polici israel","eleanora ohanessian","0"
"6636","paula deen support campaign barack obama","pop cultur","mike coldridge","0"
"3312","head head poll general elect beat hillari clinton anybodi point","poll","rosaline harrinson","1"
"3724","oil compani touch million acr alreadi right drill","energi","courtney bandt","0"
"4311","sen obama made argument now critic back novemb","foreign polici","evie staker","0"
"2660","presid label american soft","economi","edouard hundall","0"
"925","lobbyist run campaign","ethic","jesus johanchon","0"
"2160","woman name wisconsin outstand teacher year laid milwauke public school year senior tenur rule elimin act chang","labor","elysee yankishin","0"
"6953","start whole year senior univers illinoi footbal team led team intercept tackl defens back","candid biographi educ sport","annabal durham","0"
"4045","major everi state favor path citizenship undocu immigr","immigr","alexei cadogan","1"
"4400","presid gave auto compani uaw","union","dare ruddiforth","0"
"2853"," berni sander advoc put iranian troop syria tri resolv conflict put right doorstep israel","foreign polici","mirabelle game","1"
"7567"," presid barack obama health care law expect destroy million job","health care","keeley murney","0"
"479"," miami congressman carlo curbelo support drill offshor repeat vote presid obama abil fight pollut combat climat chang","climat chang environ","adelind veighey","0"
"1452","obama vote tax subsidi giveway slow oil compani pursu clean energi sourc","energi","walliw ince","0"
"606","debt ceil fight stock market lost point","economi","zedekiah wraggs","1"
"7472"," chris christi veto equal pay women time let bill pass becam damag campaign issu","incom women worker","binky leemans","0"
"2405","presid barack obama budget threaten nation secur propos armi fewer personnel pearl harbor","feder budget militari","roxy bazylets","0"
"7680"," women need sonogram eighth th week pregnanc get transvagin sonogram","abort health care women","laurent bruinemann","1"
"7665","past legisl session pass legislatur resolut requir congress pass balanc budget amend us constitut","deficit feder budget","evita ringrose","0"
"10090","thirti percent sheldon whitehous campaign money come special interest","campaign financ","josephina huntall","1"
"3020","one ill report raw milk texa four year total six ill occur last year","correct updat food safeti public health","blake rodden","0"
"9345"," cut billion dollar state spend two year","deficit state budget state financ","philippa trevithick","0"
"9023","presid ad close troop last year sinc came offic just hear other ad","afghanistan foreign polici militari abc news week","horatia klulisek","1"
"9491","david beckham soccer stadium get special tax deal let hook million tax everi year year","sport state budget tax","caye jeannesson","1"
"4717","greg abbott defend billion public school fund cut fight hundr school district court","educ state budget state financ","violet macpharlain","0"
"5522","hillari clinton also said unequivoc didnt receiv classifi document","transpar","loise rowlson","0"
"7384","gun epidem lead caus death young african american men next nine caus put togeth","divers gun public health","gayler kettlewell","1"
"8901","buy percent chines export","trade","lonni mclewd","0"
"6562","singl unarm white person shot polic new york year","crime public safeti","austine banbridge","0"
"88","built new prison everi day keep mass incarcer explos nonviol offend","crime crimin justic","portie lilley","1"
"5427"," russ feingold cast decid vote largest tax increas histori","histori job accomplish tax","mozes swyn","0"
"2469","repeal sale tax boat rhode island spawn compani job close billion year sale activ","economi state tax","sigismondo goodbanne","0"
"6602","five member common caus georgia board accept maximum campaign contribut","campaign financ ethic govern regul","chauncey dybald","0"
"10178","texa spend per day hous inmat student","crime crimin justic educ state budget state financ state","harlene atterley","1"
"6773","health care reform bill page outlaw privat insur","corpor health care pundit market regul","ange barlee","0"
"7791","cheney disagre presid bush polici presid bush state repeat intern audienc countri want close guantanamo","militari","barbabra collingdon","0"
"9305","sen rubio worst vote attend record florida senat near year","vote record","henderson greder","1"
"5449","st pete beach local version amend result seem endless lawsuit decim citi legal budget forc citi rais properti tax rate","elect florida amend infrastructur","mellie kertess","0"
"1788","presid obama border patrol border secur deploy border previous presid","immigr","starla tellenbroker","1"
"807","hillari clinton state depart work us corpor pressur haiti rais minimum wage cent hour cent","foreign polici labor worker","sacha camamile","0"
"7102","congress whole less popular sinc poll invent","congress poll","vera rickell","1"
"4779","new provis health care law bar use offlex spend account health save account pay aspirin non prescript health need","health care","bearnard handrock","1"
"4967","overcrowd problem matter fact rhode island one lowest incarcer rate countri","crimin justic","cristian duthie","1"
"2095","rent u haul move compani cost twice much go san francisco austin way around cant find enough truck flee golden state","economi state tourism transport","bartholomew burlay","1"
"9843","obama want increas size govern percent","feder budget","mar houseman","0"
"6549","presid obama work chang medicar wors creat unelect unaccount panel power deni coverag certain treatment","health care medicar","matthiew otteridge","0"
"3335","research watch much crime pick take away footbal","crime","yankee settle","0"
"7846","incom dispar unit state worst sinc s","incom wealth","lazarus bostock","1"
"8661","mitt romney want set date withdraw iraq","iraq","cortney bengochea","0"
"4785","frack wast dump new york state","energi environ","tamma priestman","0"
"4734"," detroit dump bunch sewag lake eri caus big problem ohio","agricultur environ water","aubrey swaffer","0"
"1621"," hillari clinton lie parent name hillari","candid biographi","juan bomb","0"
"6565"," tax rais time eight year becam governor increas part path led wealth job peopl leav state","tax","helaine brooking","0"
"7246","averag time someon use hold share stock back s eight year now averag time four month","corpor economi wealth","jeanelle thalmann","1"
"1431","bill georgia general assembl make presidenti candid meet citizenship requir us constitut","obama birth certif","paddie van eeden","1"
"5784","here someth peopl never talk coach schiano rutger best graduat rate divis footbal program america","educ sport","durante lapthorne","0"
"6634"," mitch mcconnel can happen year senat can becom multi millionair public offic","congress correct updat incom messag machin wealth","valry gregoriou","0"
"7091","record number hispan elect us hous repres","divers elect","colver satchel","1"
"3218"," berni sander auto bailout vote money end save auto industri","congress financi regul vote record","augy arnholdt","0"
"6023"," won popular vote deduct million peopl vote illeg","elect immigr","augy arnholdt","0"
"5723","hous democrat call stimulus stuf astonish million fund prevent program sexual transmit diseas","economi stimulus","gwenni blesli","1"
"5359","tax foundat figur rhode island th highest state state local tax burden per capita countri th worst countri busi tax index rd highest per capita countri tax","economi small busi state financ tax","keenan arrighini","0"
"9725"," reason behind portland high water sewer rate kind pet project unrel core function water sewer bureaus","citi govern govern effici water","linet golden of ireland","0"
"7036","mitt romney  next presid need foreign polici experi","foreign polici","harlene atterley","1"
"838","barack obama vote born aliv legisl illinoi virtual ident feder law","abort","jermaine huban","1"
"3209","countri constitut right like second amend","gun legal issu","gerek newbold","1"
"7195","health insur cost floridian percent","health care","jessie bretherton","0"
"529","everi ethic case result formal sanction there investig subcommitte  establish first","ethic","daria josiah","0"
"680","everi presid sinc franklin delano roosevelt fast track trade author","congress congression rule foreign polici histori trade","merola cobson","0"
"1480"," abraham lincoln tri buy slavesfreedom border state state reject","histori","marnia brasener","1"
"3852","ben carson run presid elimin depend govern doesnt mention grew public school got public hous food stamp got free glass govern program help affirm action got pell grant colleg","candid biographi welfar","corby stichall","0"
"5482","senat accept million campaign contribut financi industri vote allow bankruptci judg modifi home mortgag","bankruptci elect hous","agneta eynaud","1"
"5721","first member congress contribut donald trump","campaign financ candid biographi elect","elinore baniard","1"
"5728","birmingham ala cradl civil right movement","civil right histori","karolina van de vlies","0"
"399"," georgia  send state money per child state charter school budget cut appli charter school","educ","mike kineton","1"
"8207"," indiana governor made record invest educ","educ state budget","philippa trevithick","0"
"3075","rick perri advoc liquid state raini day fund","state budget state financ","theodor logan","0"
"7670","new provis obamacar charg ir implement accord govern account offic","health care tax","jess whyke","1"
"3924","famili pay averag higher premium uncompens care","health care","nora gianilli","0"
"8054","american spend billion billion hour per year compli tax code","financi regul govern regul tax","colman tsarovic","1"
"7477","tuition virginia colleg doubl percent last year","educ","meg candlin","1"
"988","due action presid barack obama burger king nation headquart announc month  pull franchis militari base","corpor govern regul job militari","karolina van de vlies","0"
"1040","sinc right wing extremist incl anti abort anti gov kill american islam extremist","islam terror","gabe ivashkin","0"
"5061","michael dukaki creat job three time faster mitt romney","job","gerek boissier","0"
"2701","properti tax went larg technic colleg portion went percent money put state","tax","nerita wessell","1"
"3801","fastest rise expens us defens depart health care","health care militari","elysee yankishin","1"
"9508","texa law  cant shoot bear second floor window","anim govern regul gun","ivette scandrite","0"
"3565","everi day peopl  arrest possess marijuana georgia","crimin justic drug marijuana","lucila gilhespy","0"
"597","feder reserv polici led percent rise corn price percent rise wheat price percent spike sugar price last year","agricultur energi hunger","quintus tittershill","0"
"5124","romney outsourc call center job india","job messag machin","abagail rushe","0"
"1139"," vote remov common core school","educ","corey godilington","0"
"6097","obama close offshor tax safe haven","economi foreign polici","dorella flag","0"
"7952","went back obes rate exist back s medicar system sever year save much trillion dollar","health care medicar","joseito park","0"
"186","oil rig oper unit state rest world combin","corpor debt economi energi environ feder budget gas price govern regul infrastructur","pepe vause","0"
"9712"," barack obama knew half popul unit state lose health insur","health care","earvin logsdail","0"
"2535"," hillari clinton complet ignor dozen dozen request secur benghazi consul","candid biographi terror","adeline gervaise","0"
"889","us give foreign aid cuba venezuela even though countri enemi","feder budget foreign polici","keri leverson","0"
"8986","compact fluoresc light bulb toxic environment friend","consum safeti energi market regul","vera rickell","0"
"4203","your terrorist cant fli assault weapon can buy","crime gun terror transport","lionel dreye","1"
"8966","georgia public sector employe  condit employ bargain right  work condit","union worker","beverie strickland","0"
"1774","lot cuba surviv depend venezuelan oil money dri","foreign polici","hulda sturgis","1"
"3399","came offic vaccin rate texa percent left two week ago percent","correct updat health care public health","joya pietroni","0"
"1244","near regist sex offend across countri one time unaccount","children crime","petronia fazakerley","0"
"10145","figur cite gov scott walker common use measur job creation","job","suzie kiss","0"
"699"," veteran disabl claim backlog doubl obama first term","veteran","bethina teas","1"
"1119"," deborah ross support iran nuclear deal ransom paid hostag","correct updat foreign polici nuclear state","myrtie joburn","0"
"1800"," mark pryor continu insist obamacar amaz success","health care","georgi mcloney","0"
"2934"," austin citi council may give million year subsid race track","citi budget citi govern elect tax","darn mateja","1"
"4025","unit state industri countri guarante paid time care new child","famili women worker","quinta mcinulty","1"
"3520","depart justic obama administr disagre decis judg sotomayor made ricci vs destefano case","sotomayor nomin suprem court","malchy bowland","0"
"8190","girl scout usa curriculum promot margaret sanger founder plan parenthood betti friedan founder naral prochoic pro abort women icon children emul","abort children sexual","hedvige costerd","0"
"3736","didnt rais tax","tax","willetta semark","0"
"3348","infant mortal rate percent higher state right work law","labor","hester fallens","0"
"377","republican small busi tax cut bill spend million better googl search job creation","small busi tax","krissy struthers","0"
"8915","john mccain vote tax cut wrong claim help rich","candid biographi messag machin tax","tildi pardi","1"
"9080","year chemic came market four regul","environ public health","westley oxer","0"
"4451","american lose live gun violenc year","elect govern regul gun","tabitha snuggs","1"
"8723","sherrod brown vote six time rais pay","congress job accomplish messag machin vote record","garret biesty","0"
"5286","domest attack bush","homeland secur terror","burnaby butting","0"
"3345","american pray pari govern act mandatori nation vaccin","congress public health terror","felix peasee","0"
"2429"," obama want give iran nuclear weapon michael bennet","nuclear","fiorenze armell","0"
"1307","lot peopl know american now make live ebay","economi","sterne molloy","0"
"3921"," abl attract independ democrat win elect pennsylvania","candid biographi elect histori","maggee graalmans","0"
"6352","hivaid dramat rise us south","gay lesbian health care state","marve tryme","1"
"5524"," enter divers class ever us repres","congress divers","janka hedylstone","1"
"7299","unit state student achiev number develop countri come scienc math","educ","willey bartleman","0"
"3695","except slaveri chines exclus act law never bar person becom citizen","immigr","lyndel gilmartin","1"
"4679"," privat sector job growth place new jersey top third among state","job","filbert dach","0"
"8395","almost unit state servic member still miss unaccount date back world war ii","militari","mavis cain","1"
"5397"," first local offici endors barack obama","elect","alric swash","0"
"5773","matt patten kick dirti campaign thousand dirti cash guess frank russo jimmi dimora","messag machin campaign advertis","philipa haddrill","0"
"9056","obama propos percent pay increas activ duti militari lowest sinc lower pay increas welfar recipi","militari worker","sean giacobelli","0"
"833","current debat author militari action islam state first time congress place limit command chief abil command chief","congress histori militari terror","margalo konzel","0"
"9093","singl republican candid announc potenti clear consist support path citizenship one","immigr","rozanne huckle","0"
"7950","there mosqu insid pentagon","homeland secur religion","becki kira","0"
"4685","two third peopl receiv minimum wage femal","economi women","violante haggerstone","1"
"3070","amanda murphi two vacat home around world","candid biographi","farra weagener","0"
"4639","protest caus million damag wisconsin state hous","labor state budget","noah adenot","0"
"9407","obamacar invent liber academ theorist","health care","enriqueta portinari","0"
"4308"," elect propos allow potenti hour earli vote think weve ever","elect","frances de la yglesia","1"
"8740","bush era tax cut expir schedul budget  close balanc four year","deficit feder budget tax","fran roseburgh","0"
"1095"," fiduciari respons busi famili employe pay tax legal requir","candid biographi financi regul tax","chandal tippett","0"
"8471","teacher lost job crist governor","economi educ stimulus","wilhelm clemett","0"
"9529","texa instal wind power state four countri","energi","tilly carl","1"
"7842","solar wind energi cheaper nuclear right now","energi environ","vladamir rubel","0"
"6795","cantor campaign spent steakhous brat spent entir campaign","campaign financ","kori darrow","1"
"4168"," wisconsin gov scott walker action direct respons kill least job","job state budget","susana pavlitschek","0"
"291","proper collect noun group baboon believ congress","anim congress histori poll","caye jeannesson","0"
"7269","health care bill  creat million job job almost immedi","economi health care","hoebart lochet","0"
"2598","percentof republican nationwid dont think donald trump right guy take hillari clinton novemb","elect poll","alicea rasor","1"
"4946"," berni sander won nevada","elect","gabbi konrad","0"
"8665","gov romney definit donald trump small busi","debat small busi tax","dev koche","0"
"10048","one third health care dollar goe thing health care goe insur compani","corpor health care","giraldo phayre","0"
"2581","preschool shot dead year polic offic line duti","gun","avram latliff","1"
"3272","singl night januari state local plan agenc rhode island report follow estim homeless veteran homeless","hous","justin ciciura","0"
"1169"," marco rubio went univis spanish promis first day offic rescind presid obama illeg execut action","immigr","sauveur hunnicutt","0"
"4865","congress vacat","congress congression rule","maribelle linstead","0"
"175"," new jersey near job pre recess peak gov chris christi new jersey trail rest america come unemploy consecut month","economi job accomplish job","shari cromar","0"
"3327","individu mental ill die averag year earlier without mental ill","health care medicaid","abigail pinchin","1"
"1726"," state budget leav billion raini day fund","state budget state financ","nora gianilli","0"
"5835","florida doesnt regul assault weapon calib rifl larg capac ammunit magazin doesnt requir permit purchas gun doesnt requir registr whatsoev","gun","toddy oquin","1"
"7240","american lost job barack obama presid modern histori","economi histori job","magda mcphilemy","0"
"7866","still gotten terribl road pm tuesday","weather","vivienne mclane","0"
"6259","texa defund plan parenthood unintend pregnanc abort rate drop","abort women","noah adenot","0"
"2451","florida vote law requir turn voter registr within hour make imposs meet deadlin your work right end week","elect pundit news tampa bay","lyndell deavin","0"
"4340","plan incorpor idea mani peopl room tonight democrat republican","health care","oliy edgler","0"
"3337","auto bailout general motor back top world automak","economi job","juan bomb","0"
"7265","portland public school invit well paid well fed school bureaucrat administr teacher staff non needi student affluent parent student adult includ extrem adult homeless illeg alien fanat muslim terrorist drug addict street peopl enjoy cheap breakfast taxpay paid school facil amidst school children","educ govern effici","avery tanslie","0"
"8040","your pay state sen dian allen health care took away","candid biographi health care state budget","brod disley","0"
"5409","opinion poll show major american major new jerseyan favor marriag equal sex coupl","gay lesbian marriag","rodina gillitt","1"
"7287","pend feder waiver legislatur elimin overtest student grade decreas number test","educ","mellie kertess","0"
"826","rhode island almost dead last among northeastern state length time first degre murder must spend prison theyr elig parol","crime crimin justic legal issu state","brunhilda elmer","1"
"4618","still peopl uninsur today obama elect presid","health care","sheeree gell","0"
"3793","hous republican requir use styrofoam cup hous cafeteria part koch industri","congression rule","kaia brassill","0"
"5029","obama  clinton suggest connect al qaida iraqi govern","iraq","yuma skilton","1"
"4411","sinc world war ii gerald ford bill clinton wors rate seven month presid obama","candid biographi","jaime duckering","1"
"4209"," didnt involv withnutrit supplement compani mannatech","candid biographi","vitoria dinnies","0"
"4537","last year georgia public health declin","public health","graig capron","0"
"8293","california water infrastructur million peopl","infrastructur water","andonis mallam","1"
"5267"," donald trump never said nation get nuclear weapon","nuclear","tiffi marquand","0"
"1407","studi privat bail bond system show wisconsin higher show rate state defend skip court appear","crimin justic","ado itzakson","0"
"5251","cover florida avail floridian offer basic coverag month instead typic month","florida health care","lionel dreye","0"
"1312","birther obtain copi obama kenyan birth certif","candid biographi obama birth certif","myriam swinfen","0"
"2556"," scott walker cut tax wealthiest rais tax wisconsin famili","hous incom messag machin poverti tax","oliy edgler","0"
"8057","unemploy rate young peopl percent high percent today","economi job accomplish job worker","bart moseley","0"
"1606","barack obama even use term war terror","iraq militari pundit","doyle eccott","1"
"9773"," ad toll lane broward counti improv rush hour traffic non toll lane mph mph","transport","catlin mccomas","1"
"8251","weve caught iran cheat interim nuclear deal","foreign polici nuclear","catina bachmann","0"
"5219","five texa counti account almost percent state cattl industri","agricultur","merrile holyard","0"
"3667","us forc iraq afghanistan includ thousand still green card holder even citizen countri","militari","kippar burgill","1"
"1809"," wisconsin governor end welfar","job accomplish welfar","jolyn barrand","1"
"8187","million nih dollar spent origami condom","ebola public health","dev koche","1"
"2230","wisconsin woman earn cent everi man earn","economi incom job women","violante haggerstone","1"
"1422"," critic call origin gi bill welfar","histori pundit veteran","alano pighills","0"
"8466","obamacar hit american billion new tax","candid biographi feder budget health care messag machin tax","dallas sellman","0"
"5602","tax rate signific higher s s s","tax","katerine boldero","1"
"4032","vagina appar  word michigan state hous repres can get two day ban speak floor","abort","jaymie caddick","1"
"1370","busi went busi last year start first time histori","economi","maximilien morat","0"
"8238","impact feder health care legisl  huge georgia","health care","burnaby butting","1"
"6011","vote tax increas member west miami citi commiss","tax","tamma priestman","0"
"9774"," potenti gop us senat candid tommi thompson support obamacar","bipartisanship health care public health","vito krolman","0"
"7886"," hillari clinton ralph northam label polic racist","public safeti","gabie bodker","0"
"7276","governor must inform senat presid absenc state","govern effici legal issu","dev storry","0"
"8239","legislatur pass fewest law year","state","montgomery duerdin","1"
"9278"," oregon can blueberri  cheaper south korea thank trade agreement","trade","rochella howkins","1"
"8992","russian didnt wear uniform came ukrain","foreign polici militari","jinny pondjones","1"
"4593","health care law page bill amend","health care","bern rodliff","0"
"8646","everi one mile light rail track  built mile new road capac  built","transport","cati tomei","1"
"3779","state tax burden accord census figur releas today cost state anoth resid","census economi tax","lorine mumford","0"
"3174"," four democrat state senat vote rais tax wisconsin worker anoth month freeload can get free state run health care","health care messag machin tax","killie stallard","0"
"547","truth matter administr fbis crime statist show violent crime reduc massachusett percent","crime","elisa de werk","1"
"1071","twenti percent singl adult age kid work even school tri find job","children educ feder budget job poverti tax","tab catlow","0"
"7603","labor forc particip rate share potenti workforc actual work look work current stand percent lowest level sinc s","economi job","bianka learie","1"
"5190","jim marshal vote liber washington arent fool","vote record","jaymie caddick","0"
"459"," real estat tax put place pay obamacar","health care tax","lyda douch","0"
"10093","primari elect result show democrat strong kentucki democrat candid got vote rand paul","elect abc news week","hamilton pedden","0"
"3186","senat obama liber vote record unit state senat","candid biographi","catlee dannehl","0"
"6349"," rick perri propos driver licens high school dropout state law sinc","children crime famili","papagena eardley","0"
"8331","next state budget  begin surplus half billion dollar million exact","job accomplish state budget state financ","lillis carrington","0"
"3092","askedthedivis emerg manag toreport direct","govern effici state budget","mirelle colquyte","0"
"6155","among syrian refuge migrant come europ look like women children","foreign polici immigr","otho ainsley","0"
"7261","poll show american overwhelm oppos obamacar especi individu mandat","health care","nils thecham","1"
"9743","six nation wealthiest counti accord median incom around washington dc area","economi feder budget incom popul wealth","bettye klimkovich","1"
"383","deadliest year war afghanistan american forc","afghanistan militari","dex bedwell","1"
"9887","job creator america februari now job creator last year","economi job","chandal tippett","1"
"1529","taxpay fund benefit illeg california skyrocket cost obamacar","candid biographi elect feder budget health care immigr messag machin poverti","vaughan martineau","0"
"310","suburb inund former resid atlanta hous project absolut","hous","herbie mctrustram","1"
"8663"," wisconsin law remov name ballot re elect congress","elect","allix kobieriecki","1"
"4603"," hillari clinton plan bring refuge first term alon effect way screen vet plan cost billion term lifetim welfar entitl cost","immigr","georgi mcloney","0"
"9586"," sever time last year austin citi council candid won seat trail vote elect prompt runoff","citi govern elect histori","tobiah ploughwright","0"
"9802","havent legisl took away one gun past year anybodi countri one","gun","ferd dreini","0"
"367","electr car sale georgia drop dramat sinc tax credit elimin annual registr fee impos juli","state budget tax transport","burnaby butting","1"
"8362","conserv republican presid lose job month","economi job","anson vyse","1"
"6008","now produc oil world weve surpass saudi arabia","energi","sean giacobelli","1"
"884","tampa strip club capit world","economi pop cultur","jorrie brobak","0"
"7008","fact amnesti","immigr","angus enriques","1"
"9410","mitt romney oppos gun lobbi even ronald reagan","gun","torin dowles","1"
"7780","children cross border presid barack obama said come your go abl stay go enforc law","immigr","chauncey reaman","0"
"181","lot casino across countri gone bankrupt","bankruptci economi gambl state budget state financ state","dunstan leonardi","1"
"7528","live legaci deficit spend began almost decad ago","feder budget","jenica maureen","0"
"256"," gov chris christi propos reduc state incom tax second tax cut rich governor two year","tax","daisi anglin","0"
"9299","mccain plan economi extend georg bush tax cut billionair give billion addit corpor tax cut","tax","susana pavlitschek","0"
"7209"," obama flip flop public campaign financ","ethic","bethina teas","1"
"10080","drill oil outer continent shelf part alaska  immedi reduc danger depend foreign oil","economi energi","eamon brabbs","0"
"5074"," jeb bush appoint guardian fetus rape survivor","abort","willem macgaffey","0"
"10219","recent though media report thousand illeg voter commonwealth","elect","jess whyke","0"
"2880","aclu atheist denver demand nfl stop tim tebow pray sidelin","civil right human right legal issu pundit religion sport","barbee gulc","0"
"4118"," us sen ron johnson oppos faster broadband internet small town got near campaign contribut telecom special interest","infrastructur technolog","mike kineton","0"
"7868","american admir glenn beck admir pope","pundit religion","tobiah ploughwright","0"
"5962","pentagon  elimin percent us base","deficit feder budget govern effici militari","katerine boldero","0"
"931","propos keyston xl oil pipelin bipartisan propos","bipartisanship climat chang environ","levin ernke","1"
"6666","attorney general prosecut judg district attorney public offici across texa violat public trust corrupt","citi govern counti govern crimin justic job accomplish legal issu public servic","maddie bielby","1"
"5897"," three five republican ben westlund rob patridg max william lane shetter lynn lundquist later becam democrat","vote record","jard ofarrell","0"
"3223","communiti colleg system state cut reduc fund per student","educ state budget","pepe vause","1"
"68"," man rush stage dayton ohio chatter isi isi social media post","civil right elect terror","alvie fishleigh","0"
"1467","peopl move texa everi day","census immigr state","hakeem bruhn","1"
"4944","obama unilater announc delay employ mandat blog post mid level bureaucrat depart treasuri","correct updat health care legal issu tax","boy bortolotti","1"
"9378","percent job creator  wisconsin head right direct","corpor job accomplish job small busi","kelcey plampin","0"
"3676","within three mile surround univers circl area infant mortal exceed third world countri","health care public health","susanne fransinelli","1"
"7471","stori women  grope forc larg debunk","candid biographi crime histori human right women","mavis cain","0"
"575","fccs net neutral polici includ whati essenti massiv tax increas","tax technolog","roxy bazylets","0"
"3325","never consid maverick","candid biographi","bonita berzen","0"
"2056","governor christi also remain governor sinc world war ii among democrat republican fail parti win control least one legisl bodi cours term","elect","daren onslow","0"
"4416","health care law everybodi  lower rate better qualiti care better access","health care","valry gregoriou","0"
"4394","jeb bush donald trump differ immigr spoiler alert dont","immigr","wildon moncaster","0"
"972","crime rise communiti casino","crime gambl","kay grimsdale","0"
"8759","test last month max station nd avenu east burnsid saw crime percent compar decemb","crime transport","katherine franseco","1"
"6888","past three year deep poverti reach highest level record","histori poverti","marsiella pyvis","1"
"5895","presid obama want mandat circumcis","health care pundit","ange barlee","0"
"9805","senat propos restor emerg unemploy benefit five month fulli paid","congress congression rule debt deficit economi feder budget incom job labor tax worker","charlton danbye","0"
"7507"," oregon today averag debt upon colleg graduat","debt educ","quinta mcinulty","1"
"3940"," washington dc sen richard burr took million special interest went cash vote cut tax rais tax work folk","campaign financ candid biographi congress tax worker","joshia cardenas","0"
"10037","mega rich pay percent tax middl class fall percent percent incom tax bracket hit heavi payrol tax boot","tax","jacquelynn arnot","1"
"9369","administr kick scream way sanction put place iran","foreign polici nuclear","emmett ateggart","0"
"9236","road construct bid come lowest modern era","infrastructur transport","wilie pentelo","0"
"8853","florida democrat put social secur number wife employ identif number mail piec","campaign advertis","andonis mallam","1"
"6012","go look billion day go pour foreign countri order import make fuel go need take place gotten gulf","energi oil spill market regul","gerek newbold","0"
"8181","natalyn archibong skip atlanta citi council meet late percent time vote pay rais","candid biographi","cynde petigrew","0"
"4758","wisconsin gov scott walker creat manufactur led job recoveri new job creat year creat struggl manufactur sector","job messag machin","frederich reame","0"
"5337"," gov rick perri fail involv border sheriff develop plan prevent violenc communiti","immigr","sanders alleyn","0"
"3384","social secur ponzi scheme","social secur","lesli winterton","0"
"5314","oppos citizenship illeg immigr","immigr","giraldo phayre","0"
"9788","texa weve three isi relat incid alreadi","crimin justic immigr islam","loise rowlson","0"
"10062"," wisconsin state budget contain fee increas","state budget state financ","enriqueta portinari","0"
"3629","percent noncitizen regist vote","elect","shannen morilla","0"
"1132","borrow money chines buy oil saudi","energi","bonita berzen","1"
"8618","two elect row waukesha counti clerk kathi nickolaus screw count vote","elect","meghann bierman","0"
"2799","american peopl spoke pretti loud said stop loom tax hike","tax","hallsy bendelow","0"
"6360","mitt romney governor massachusett perform im sure number right mind  gay marriag","gay lesbian marriag","titus shipp","0"
"4248","everi taxpay owe pay nation debt","feder budget","vaughan martineau","1"
"7213","tax increas michigan gov jennif granholm led state unemploy go percent percent","economi job state budget state financ state tax","daisie ocahill","0"
"6639","russia china absolut said clear keep econom sanction iran unit state walk away deal","nuclear","terrill macfaell","1"
"1381","fifti percent speaker gingrich tax plan goe top percent","new hampshir tax","ferd dreini","1"
"10115","wisconsin state allow parent guardian purchas alcohol children regardless whether child seven year old bar restaur","alcohol public health","roxie mengo","0"
"5184","eric cantor vote fulli fund obamacar octob","health care vote record","earvin logsdail","0"
"2884"," uncompens health care cost absorb texa hospit ad year texa privat insur rate","health care public health state budget state financ","annissa stilgoe","0"
"974","space shuttl nation museum unit state air forc near dayton within day drive percent us popul","space tourism","gena oxtarby","0"
"7558","cap trade bill destroy job virginia","environ job market regul","jard ofarrell","0"
"5663"," sherrod brown campaign attack josh mandel militari servic","militari campaign advertis patriot","juli seiler","0"
"1664","major american still oppos health care bill","health care","eddy howse","1"
"1387","wisconsin th congression district manufactur job almost nation","job","ced beck","1"
"5708","romney one said left teddi kennedi gay right","gay lesbian","katerina jennemann","1"
"9849"," milwauke mayor tom barrett respons rough pay properti tax per year","citi budget citi govern counti budget counti govern tax","culley tommen","0"
"6975","whether feder govern set minimum wage","economi worker","hildegaard galland","0"
"1729"," percent oregonian oppos death penalti","crimin justic state","gladi smaile","0"
"2797","charli crist broke quarter record fundrais us senat race florida","florida","keen southcombe","1"
"6355","th grade girl pregnant least","famili women","mirabelle game","0"
"1932","dozen district go mile split counti splinter citi connect area littl common","elect","felicle bigley","1"
"10033","billion congress approv respons hurrican sandi percent disast relief","feder budget","kelcey plampin","0"
"5121","georgia crct set lowest expect student profici nation","educ","flem idale","1"
"9343","connecticut fifth toughest gun control law countri includ assault weapon ban ban differ weapon","gun","griz callaghan","1"
"2720","forti cent everi dollar spent feder govern borrow children","feder budget","violet macpharlain","1"
"9472","oppon way million floridian reli ve social secur tie stock market week","medicar","vera rickell","0"
"3331","govern arm forc stockpil hundr million round ammunit domest use","gun homeland secur","elvis hatliffe","0"
"7225"," ohio rep marcia fudg marci kaptur denni kucinich socialist open serv us congress","candid biographi","jourdan stopp","0"
"4405","even employe union ir peopl charg enforc law beg let law","health care union","lyda douch","0"
"9987","castro regim violat intern norm secret ship weapon north korea violat un embargo","congress terror","morey varndell","1"
"8528"," largest tax increas american histori set occur januari st unless presid obama congress can come agreement","histori tax","trevar lovart","0"
"5705","stimulus money went offic upgrad politician","messag machin stimulus","colman tsarovic","0"
"4960","ive either balanc everi budget turn back surplus","counti budget crimin justic","rich whitmarsh","0"
"10036","public financ campaign","ethic","allsun vargas","0"
"10003","arent state cut back public televis","educ state budget","teddie rolfs","1"
